source,survey,lon,lat,ra,dec,NHI_LOS,f_CNM_LOS,f_WNM_LOS,NHI_CNM_LOS,NHI_WNM_LOS,int_Ts,e_int_Ts,tau_peak,tau_sensitivity,ncomps,EBV_GNILC,e_EBV_GNILC,AV_GNILC,e_AV_GNILC,EBV_2013,AV_2013,ICO10_1,ICO10_2,ICO21,Td,e_Td,qPAH,f_CNM_LOS_KOK14,e_f_CNM_LOS_KOK14,nhi_thin,signhi_thin,rhi,sigrhi,rhi_ctrans,sigrhi_ctrans,fcnm_ctrans,sigfcnm_ctrans,"Note v1, v2, noise"
J051930+142829 (4C+14.14),TauGem19,-170.96,-12.8,79.92442543476110,14.50569968552040,23.853813528939700,0.1894475807862680,0.8105524192137320,4.519047265584390,19.334766263355400,163.8715485931540,1.3886125591654700,1.190507024859440,0.011586609567162000,3.0,0.6841764450073240,0.0310642533004283,2.120947,0.09629918,0.558688,1.7319328,-22.93196678161620,1.0825493335723900,0.8721286654472350,17.976839065551800,0.5526816248893740,0.0640000030398368,0.4964366431712340,0.22810956690349400,,,,,,,,,
J062545+144019 (4C+14.18),TauGem19,-163.02,1.1,96.43706223764260,14.673147540602700,78.99904371669320,0.5867607836980090,0.41323921630199100,46.3535408026002,32.645502914093000,137.984170401075,,,0.0006234109940467500,10.0,0.9992794990539550,0.0277057122439146,3.0977664,0.08588771,0.48215318,1.4946748,20.441015243530300,3.9871985912323,1.8506245613098100,17.78260612487790,0.3266277611255650,0.0610000006854534,0.6178007328563770,0.27709923939524000,,,,,,,,,
J064841+144020 (4C+14.20),TauGem19,-160.48,6.0,102.13949647014000,14.653058003295700,20.979661804411100,0.20608337408684600,0.7939166259131540,4.323559491853960,16.656102312557100,211.85691471483900,2.816290030609730,0.6857126828012740,0.012442034234603300,4.0,0.2614305317401890,0.0113597642630338,0.81043464,0.03521527,0.19234982,0.59628445,-4.9703898429870600,0.2900917530059810,0.1568258851766590,18.422447204589800,0.5462682843208310,0.0549999997019767,0.38429923209333800,0.17860156534885700,,,,,,,,,
J072516+142513 (4C+14.23),TauGem19,-156.36,13.9,111.31032670872300,14.420332884074500,7.607484369835250,0.5776059907186540,0.42239400928134600,4.394128546315360,3.2133558235198900,254.9123669259380,8.067803839148900,0.2736349677156360,0.009995438363812910,2.0,0.098922498524189,0.0025088787078857,0.30665973,0.0077775237,0.10020728,0.31064254,21.34076499938970,0.4230846166610720,-1.1596146821975700,19.090866088867200,0.3290510773658750,0.0320000015199184,0.3280996747057300,0.1418704597311160,,,,,,,,,
J073035+151512 (4C+15.20),TauGem19,-156.58,15.4,112.62765105841500,15.241119961819100,5.395987179141990,0.014512887400188500,0.9854871125998120,0.07831135434374850,5.317675824798240,4935.225159258710,2590.233627946490,0.056421840842948100,0.005819849584984280,1.0,0.0499489046633243,0.0006947026122361,0.1548416,0.002153578,0.054017734,0.16745497,19.133766174316400,-0.976734459400177,0.3267704844474790,19.25279235839840,0.1805280447006230,0.0390000008046627,-0.013570205716366300,0.020508703646205000,,,,,,,,,
J041140+171405 (4C+17.23),TauGem19,176.36,-24.2,62.952676431492800,17.263304649413,25.67105934633780,0.24679378102842200,0.7532062189715780,6.33545779908772,19.335601547250100,147.35368163368900,1.03948377452377,1.197826482247180,0.006501317436553220,3.0,0.5900079607963560,0.0285555515438318,1.8290247,0.08852221,0.44370255,1.3754779,8.28451156616211,1.3389886617660500,1.1833772659301800,17.654699325561500,0.5760843753814700,0.0599999986588954,0.5852842019108530,0.26073017075105400,,,,,,,,,
J042524+175525 (4C+17.25),TauGem19,178.11,-21.3,66.36334389594150,17.93007541072300,20.913186711945700,0.561776647984242,0.43822335201575800,11.748539929705500,9.164646782240270,137.55757063057500,1.2286390035191000,1.1504448358583900,0.009347861915667410,2.0,0.3049030005931850,0.0122232912108302,0.94519925,0.0378922,0.27397293,0.84931606,36.36810302734380,-0.2452560663223270,0.0998787060379982,18.206768035888700,0.4941153526306150,0.0659999996423721,0.615096725589316,0.27884027992996300,,,,,,,,,
J042756+175242 (4C+17.26),TauGem19,178.56,-20.8,67.04962508020110,17.92572333691350,18.984916829671400,0.2748228463898360,0.7251771536101640,5.217488881604590,13.767427948066800,143.50835290497500,2.3638940986586600,1.6184823607468400,0.012258281612702100,4.0,0.3563567101955410,0.0146234193816781,1.1047058,0.0453326,0.27447414,0.85086983,-39.532962799072300,-0.2532133460044860,0.4372413456439970,17.676511764526400,0.4857177436351780,0.06700000166893,0.5836879605157890,0.2579499164574730,,,,,,,,,
J053557+175600 (4C+17.33),TauGem19,-171.78,-7.6,84.0524313509545,17.968238857483200,38.67671988176710,0.28673103624683200,0.7132689637531680,11.089815970327500,27.586903911439600,209.0319073551200,2.2098150655729400,0.983405657128187,0.015445167672493900,4.0,0.4106304347515110,0.0160177033394575,1.2729543,0.04965488,0.34362853,1.0652484,-28.799205780029300,-0.5518356561660770,0.0059350761584937,18.59611701965330,0.494641363620758,0.0590000003576278,0.378701023961916,0.1781991953534560,,,,,,,,,
J054046+172839 (4C+17.34),TauGem19,-170.79,-6.9,85.21824940688160,17.497659400339300,30.559647187093900,0.12018332492017700,0.879816675079823,3.672760007332470,26.88688717976140,329.59391827878500,3.388214017984000,0.6015058747759700,0.008079257596411070,6.0,0.3890711665153500,0.0182958133518695,1.2061206,0.05671702,0.3317544,1.0284386,-2.713735342025760,0.1155636832118030,-0.1463672071695330,18.71247291564940,0.6063248515129090,0.0649999976158142,0.2330556892531830,0.10761871055251200,,,,,,,,,
J073037+173951 (4C+17.41),TauGem19,-158.87,16.4,112.63659293600800,17.65984607816160,6.322185211606350,0.2319818757266880,0.7680181242733120,1.466632384079970,4.855552827526380,177.0473874398950,6.51972256253815,0.4789356420790350,0.013006633554595500,2.0,0.1352723687887190,0.0078017176128923,0.41934434,0.024185324,0.104591385,0.3242333,-9.954769134521480,2.2046918869018600,0.9522528052330020,17.35822296142580,0.6765575408935550,0.0419999994337558,0.4784906268228250,0.2137126072125680,,,,,,,,,
