src,gl,gb,nhi,signhi,thin,sigthin,nhicnm,signhicnm,nhiwnm,signhiwnm,rhi,sigrhi,fcnm,sigfcnm,rhi_rl,sigrhi_rl,fcnm_rl,sigfcnm_rl,note_rl,ew,sigew,taupeak
3C208.0,213.6628,33.1608,2.99,0.04,3.0476,0.1619,0.0,0.0,2.99,0.0448,1.0,0.0537469385976801,0.0,0.0,1.0155624151229858,0.0095899836473037,0.0527108907699584,0.0424549853328993,"-50, 30.0, 0.0",0.2871698551284933,0.00790242169441987,0.0988384970012154
4C32.44,67.2401,81.0438,1.05,0.03,1.128,0.521,0.14,0.017,0.91,0.0273,1.0,0.4307627697112015,0.1333333333333333,0.0166326182824504,1.0019636154174805,0.0033763177790695,0.0182852074503898,0.0159205373183389,"-40, 15.0, 0.0",0.06424693918628126,0.011908124159080895,0.023915714453896057
3C263.1,228.2701,74.3753,1.68,0.05,1.6732,0.3024,0.0,0.0,1.68,0.0462,1.0040640688501077,0.1839100544900392,0.0,0.0,1.0,0.0042886478268711,0.0011349394917488,0.0991380724850054,"-90, 30.0, 0.0",0.18637200850696875,0.024823953841857368,0.019306170551225663
3C225b,220.0116,44.0083,3.28,0.06,3.2582,0.0506,0.86,0.0459,2.42,0.0434,1.0066908108771715,0.0241564813937769,0.2621951219512195,0.0147930166272647,1.0179550647735596,0.0177531106150622,0.2474950551986694,0.0623657230204141,"-55, 40.0, 0.0",1.4702717281061715,0.0030481080430824156,0.7473140734639401
P0347+05,182.2737,-35.7311,13.45,0.76,11.3822,0.6992,7.27,0.7487,6.18,0.1424,1.1816696245014144,0.0986282433094106,0.5405204460966543,0.0634939303712137,1.4636309146881104,0.893315464203383,0.7189921140670776,0.1027765790410476,"-38.0, 35.0, 0.0",5.128650501907951,0.036656134912989094,1.2879052896071823
3C272.1,280.6321,74.6873,2.39,0.03,2.426,0.3032,0.36,0.0218,2.03,0.0248,1.0,0.1237442235792657,0.1506276150627614,0.0093152379344367,1.0122482776641846,0.0048373393698113,0.1752015501260757,0.0780618547233693,"-80.0, 40.0, 0.0",0.21034692949825776,0.015145705019683988,0.03583341652550775
3C225a,219.8664,44.0247,3.4,0.14,3.3469,0.0392,1.51,0.1353,1.89,0.0228,1.0158654277092234,0.0434890129573984,0.4441176470588235,0.0437949013231443,1.0258266925811768,0.0167451171154175,0.3022903800010681,0.0361821532987945,"-80.0, 60.0, 0.0",0.5836997196614323,0.01092903194220435,0.3223370113005984
4C07.32,322.2286,68.835,2.11,0.03,2.0761,0.2568,0.32,0.0219,1.79,0.0244,1.01632869322287,0.1265409822998354,0.1516587677725118,0.0106007669164339,1.0096505880355835,0.0061451228587782,0.1919722259044647,0.0990441644970629,"-45.0, 20.0, 0.0",0.49276130584330824,0.03726592588234902,0.18083745861266218
3C245,233.1247,56.3009,2.03,0.03,2.1298,0.1329,0.48,0.0262,1.55,0.0225,1.0,0.061121449381126,0.2364532019704433,0.0133710871027696,1.0081665515899658,0.002505763615297,0.1866694688796997,0.03305618204882,"-60.0, 50.0, 0.0",0.07946577313655959,0.005196891863926068,0.011066002983933648
3C93.1,160.0361,-15.9147,12.32,1.04,9.6239,0.8153,3.5,0.9868,8.82,0.337,1.2801463024345638,0.1530983329533898,0.284090909090909,0.0836105007962704,1.075282096862793,0.4898117402733339,0.4349147081375122,0.1512807250095346,"-55.0, 25.0, 0.0",6.090959175402737,0.0638469912801692,1.7886184075314973
3C348,22.971,29.1769,5.69,0.16,5.2943,0.0605,1.55,0.152,4.14,0.0467,1.074740758929415,0.0326213800850219,0.2724077328646748,0.0277900698300848,1.0969527959823608,0.046542882345783,0.3924746513366699,0.0580352789148111,"-45.0, 38.0, 0.0",2.1596977672155138,0.002021152788917717,0.6105999195923799
3C286,56.5295,80.674,2.04,0.09,2.1072,2.337,0.0,0.0,2.04,0.0917,1.0,1.0745353532525332,0.0,0.0,1.0,0.002064409435267,0.0011000037193298,0.0523659278487978,"-70.0, 50.0, 0.0",1.3342522746504948,0.04487209159955544,0.018904570669773618
4C13.65,39.3151,17.718,9.16,0.14,8.6619,0.1212,1.45,0.1214,7.71,0.0613,1.057504704510558,0.0219130852605467,0.158296943231441,0.0134722948222568,1.0920217037200928,0.0669821703062745,0.4105263948440552,0.0720791622776514,"-70.0, 50.0, 0.0",2.894522144160459,0.008172136555008036,0.7247389879567429
3C190.0,207.6242,21.8412,2.82,0.04,2.941,0.8069,0.0,0.0,2.82,0.0411,1.0,0.2634258557530828,0.0,0.0,1.005315899848938,0.007794187562766,0.0130278561264276,0.0308465028834321,"-35.0, 55.0, 0.0",0.017910257810267248,0.03552220524171693,0.04714506808233699
P0320+05,176.9818,-40.8433,11.2,0.48,9.9975,0.7438,5.05,0.3183,6.15,0.361,1.1202800700175042,0.096186899243371,0.4508928571428571,0.0343670232547608,1.2805802822113037,0.1323214835097859,0.6096200346946716,0.0879701608186533,"-50.0, 33.0, 0.0",5.57640247656324,0.028833441374153407,0.5856156233193279
3C274.1,269.8744,83.1637,2.36,0.04,2.286,0.1201,0.3,0.0193,2.06,0.0293,1.032370953630796,0.0569905174453369,0.1271186440677966,0.0084570224923928,1.013349533081055,0.0263403809320603,0.1586483120918274,0.1740689798479282,"-50.0, 25.0, 0.0",0.474076366106662,0.00715397607651773,0.10941539223605062
3C207,212.968,30.139,5.25,0.15,4.9461,0.0969,0.91,0.1267,4.34,0.087,1.0614423485170132,0.0367716074428362,0.1733333333333333,0.0246362305330032,1.0181022882461548,0.0164379075505681,0.218569815158844,0.0680504881335544,"-36.0, 33.0, 0.0",2.2095763564451456,0.004199581997088096,0.2961820955099114
3C223,188.4047,48.659,1.0421,1.2825,1.0421,1.2825,0.0,0.0,1.0421,1.2825,1.0,1.7404557084190524,0.0,0.0,1.0,0.0259546731439492,0.0011000037193298,0.2005240656481304,"-40.0, 60.0, 0.0",0.16794045790141954,0.11314860196297707,0.11987422066039599
