Source name,src,R.A (J2000),DEC (J2000),l(deg),b(deg),Flux(1.4GHz) in Jy,Tsky (K),nhi,signhi,nhithin,signhithin,rhi,sigrhi,nhicnm,signhicnm,nhiwnm,signhiwnm,fcnm,sigfcnm
J042846+213331 (4C+21.17) ,4C+21.17,04:28:46.64,21:33:31.40,175.7,-18.36,1.34,4.35,25.47752255975674,0.6433295483400862,19.16382235298578,0.03774395729245628,1.32945933699846,0.033671964127749046,10.1990985613516,0.2301390631157931,15.27842399840514,0.600756955345208,0.4003175166435406,0.013556347246707165
J040442+290215 (4C+28.11) ,4C+28.11,04:04:42.82,29:02:16,166.06,-17.22,0.95,3.69,7.491984136789886,0.1034621903023126,6.57113750507004,0.02999725930541432,1.1401350422220438,0.016582893497454114,1.967862414467352,0.04521401449011909,5.524121722322533,0.09305975346968876,0.2626623840277548,0.007041186439431477
J052424+074957 (4C+07.16) ,4C+07.16,05:24:24.04,07:49:57.10,195.51,-15.35,0.82,4.25,24.90654932316771,0.2378448683521512,20.11296071610394,0.04911507683311054,1.2383333152550564,0.012205969157572012,6.222084229632571,0.1074270088632102,18.68446509353513,0.2122018359207948,0.2498171926146702,0.0049289895907851
J051240+151723 (PKS0509+152) ,PKS0509+152,05:12:40.99,15:17:23.80,187.41,-13.79,0.97,4.11,26.80094215001072,1.177476233706967,22.01695851060018,0.05211345180430969,1.217286308511108,0.05355798082901941,8.428655188373721,0.4123053208280848,18.372286961637,1.102930008369341,0.3144910033832654,0.020677850222643353
J053239+073243 ,J053239+073243,05:32:39.01,07:32:43.50,196.84,-13.74,2.73,4.96,20.62938516432526,0.2450248918212908,17.41433232150857,0.04514935863463042,1.1846210801229373,0.014401608609510274,4.90512806210865,0.1391718165142951,15.72425710221661,0.2016640848047729,0.23777383683693928,0.007313566943874117
J051930+142829 (4C+14.14) ,4C+14.14,05:19:30.95,14:28:29.00,189.04,-12.85,0.86,4.15,23.85381352893975,4.279703860574775,20.33461605515406,0.0587622049219047,1.1730643678858006,0.21049126006649133,4.519047265584394,3.052341307481239,19.33476626335535,2.999846275538524,0.18944758078626836,0.13239761072266276
J053450+100430 (4C+09.21) ,4C+09.21,05:34:50.82,10:04:30.30,194.89,-11.98,1.06,4.62,23.86731767466959,1.166840266655826,19.37455864187154,0.05862089655270281,1.2318896195698865,0.060340614212069335,11.58204500017016,0.6390574164280574,12.28527267449942,0.9762795841344505,0.4852679784985724,0.035773665282598205
J041236+353543 (4C+35.07) ,4C+35.07,04:12:36.28,35:35:43,162.58,-11.36,0.86,3.93,22.89579814706245,0.7570297136062482,15.90302652795808,0.09377181649074781,1.4397132587819579,0.04835390776453456,10.71350442754489,0.3672852065315541,12.18229371951755,0.6619634161687726,0.46792447936214193,0.022286783842352508
J052109+163822 (3C138) ,3C138,05:21:09.93,16:38:22.20,187.41,-11.34,8.6,7.59,22.57762727624125,0.5323630889923695,19.80436752445369,0.05409405767166584,1.1400327351208386,0.027060851952241966,12.3600589697927,0.3680022641427338,10.21756830644855,0.3846879152083141,0.5474472059692189,0.02079176575219536
J053056+133155 (PKS0528+134) ,PKS0528+134,05:30:56.44,13:31:55.30,191.37,-11.01,1.56,4.64,32.72492165056001,0.745710748580126,23.72196123919741,0.01199736035705214,1.379520070898961,0.03144320082654819,22.18616555759387,0.7433084861707018,10.53875609296614,0.05980815107116601,0.6779593178098321,0.027469701134870624
