source,survey,lon,lat,ra,dec,NHI_LOS,f_CNM_LOS,f_WNM_LOS,NHI_CNM_LOS,NHI_WNM_LOS,int_Ts,e_int_Ts,tau_peak,tau_sensitivity,ncomps,EBV_GNILC,e_EBV_GNILC,AV_GNILC,e_AV_GNILC,EBV_2013,AV_2013,ICO10_1,ICO10_2,ICO21,Td,e_Td,qPAH,f_CNM_LOS_KOK14,e_f_CNM_LOS_KOK14
3C333,Millennium03,37.6,42.3,245.0734493967058,21.128104495141336,5.09,0.21611001964636545,0.7838899803536347,1.1,3.99,237.84464869149545,0.8193311062041229,1.0515487571283861,0.0007294310506853961,1.0,0.0551800206303596,0.0032854119781404,0.17105806,0.010184777,0.07197754,0.22313038,-5.537139892578125,0.9376115798950196,0.2796622812747955,19.26873016357422,0.8096544742584229,0.0520000010728836,0.3350003462725902,0.15294763399613756
3C348,Millennium03,23.0,29.2,252.54000376180295,5.075002696355939,5.6899999999999995,0.2724077328646749,0.7275922671353251,1.55,4.14,289.43836026141537,0.9514765987721379,0.6105999195923799,0.00028453085847408535,3.0,0.0852011293172836,0.0043514790013432,0.2641235,0.013489584,0.10831131,0.33576506,7.278314113616943,-0.0070476112887263,-0.1797528862953186,19.496187210083008,0.6997959017753601,0.0689999982714653,0.2680141225207377,0.12675447652708052
3C353,Millennium03,21.1,19.9,259.84903689647894,-0.9385640285414312,10.85,0.6460829493087558,0.35391705069124424,7.01,3.84,192.86590004291793,4.389199439270752,1.4346555373178216,0.0005925455296243105,5.0,0.3955965042114258,0.0189629793167114,1.2263491,0.058785234,0.29579437,0.9169625,31.221508026123047,2.790114641189575,0.661312460899353,18.048622131347656,0.5882499814033508,0.0759999975562095,0.4252189831416018,0.19395340099322678
3C454.0,Millennium03,88.1,-35.9,343.57664959363746,18.928221092264856,5.38,0.23234200743494424,0.7676579925650557,1.25,4.13,848.0756418055762,6.781319608110573,0.11000673709185733,0.001206227528298033,2.0,0.0564731135964393,0.0020845856051892,0.17506665,0.006462215,0.061512247,0.19068795,-28.92543029785156,0.9032317996025084,0.3165777623653412,18.57335090637207,0.4663065373897552,0.0309999994933605,0.07102176272469947,0.03601157252386481
4C07.32,Millennium03,-37.80000000000001,68.8,199.76427213870136,6.967768180921346,2.11,0.15165876777251186,0.8483412322274883,0.32,1.79,377.7952668905077,34.5670518336827,0.2643589825955581,0.010974549705789248,1.0,0.0338737815618515,0.0016719093546271,0.10500872,0.0051829186,0.04001504,0.12404662,-26.2945499420166,0.7843702435493469,-0.1611645072698593,19.618322372436523,0.6809353828430176,0.0549999997019767,0.20267658729909566,0.09367986155682073
4C13.65,Millennium03,39.6,17.1,270.3235595898846,13.465055270192407,9.16,0.15829694323144103,0.8417030567685589,1.45,7.71,358.2894579384802,2.1240527460498413,0.7247379558611502,0.0021033908593136056,3.0,0.1552798599004745,0.0065350071527063,0.48136756,0.020258522,0.228317,0.7077827,-45.00835800170898,0.9827386140823364,-0.5769107341766357,20.37150001525879,0.6068474054336548,0.0450000017881393,0.21320494655557964,0.0983503441670192
4C13.67,Millennium03,43.5,9.2,279.3367008566062,13.534490745745801,16.720000000000002,0.23684210526315785,0.763157894736842,3.96,12.760000000000002,228.03707041048844,19.87348994315363,1.3754489853943608,0.0022402213824530798,3.0,0.7010784149169922,0.0337474979460239,2.173343,0.10461724,0.49899608,1.5468878,8.3982572555542,9.826841354370115,3.9593136310577393,17.942901611328125,0.5859935879707336,0.0509999990463256,0.35598572801603307,0.15930044247276262
4C19.44,Millennium03,9.0,73.0,209.30764523993307,19.29949952455268,2.65,0.0,1.0,0.0,2.65,1552.7289548284357,367.55743788810526,0.3159192830470752,0.007653363360251741,0.0,0.0433925539255142,0.0032586273737251,0.13451691,0.010101745,0.06925776,0.21469904,27.49066925048828,-2.0023913383483887,-1.2614787817001345,20.20419311523437,1.1074751615524292,0.0549999997019767,0.025366016058074457,0.022192885813872725
4C20.33,Millennium03,20.2,66.8,216.99448157360274,19.989103286401683,2.69,0.19702602230483274,0.8029739776951673,0.53,2.16,566.7072035160166,34.81433339431634,0.1315173079696941,0.0056773635548680295,2.0,0.0240329019725322,0.0012324758572503,0.07450199,0.003820675,0.03910012,0.121210374,-6.691746711730957,-0.1615085750818252,0.218146875500679,20.18206024169922,0.7369151711463928,0.0529999993741512,0.12193018920797785,0.05742699069600426
4C22.12,Millennium03,-171.9,0.0,90.94470419783265,21.947531473828906,85.23,0.629473190191247,0.37052680980875274,53.64999999999999,31.58,256.4102999540861,6.05880471549087,,0.0032859534356055155,5.0,0.981105387210846,0.0300462134182453,3.0414267,0.09314326,0.5729815,1.7762425,-12.781790733337402,1.736077904701233,0.6525664329528809,18.16245651245117,0.3726794123649597,0.0799999982118606,0.3171377160913414,0.14303080583157282
